Label,W1,W2,Code_nRMSE,Paper_nRMSE,Delta_nRMSE,Code_Gap,Paper_Gap,Delta_Gap
1/20,1,20,36.29,34.89,1.40,-1.09,13.91,-15.00
1/10,1,10,35.76,35.14,0.62,-0.65,13.42,-14.07
1/5,1,5,36.23,36.28,-0.05,-0.81,12.71,-13.52
1/2,1,2,37.08,41.09,-4.01,-1.26,11.88,-13.14
1/1,1,1,68.04,44.95,23.09,-10.28,11.44,-21.72
2/1,2,1,116.61,46.11,70.50,-29.00,11.38,-40.38
5/1,5,1,116.45,48.27,68.18,-30.43,11.38,-41.81
10/1,10,1,116.45,49.21,67.24,-30.43,11.36,-41.79
20/1,20,1,116.45,49.61,66.84,-30.43,11.36,-41.79
1/0,1,0,116.45,50.07,66.38,-30.43,11.36,-41.79
0/1,0,1,34.76,34.76,0.00,15.04,15.04,0.00
