zone,block,train_start,train_end,test_start,test_end,min_margin,worst_hour
z02,9,2012-11-28,2013-02-25,2013-02-26,2013-03-27,0.0588483475980488,11
z02,21,2013-11-23,2014-02-20,2014-02-21,2014-03-22,0.0558011173097237,11
z02,8,2012-10-29,2013-01-26,2013-01-27,2013-02-25,0.0537778911774065,11
z02,22,2013-12-23,2014-03-22,2014-03-23,2014-04-21,0.04399066214164571,11
z02,20,2013-10-24,2014-01-21,2014-01-22,2014-02-20,0.04179507443440289,11
z02,10,2012-12-28,2013-03-27,2013-03-28,2013-04-26,0.04128044380686702,11
z02,23,2014-01-22,2014-04-21,2014-04-22,2014-05-21,0.029723073795282495,11
z02,7,2012-09-29,2012-12-27,2012-12-28,2013-01-26,0.026214302663563727,11
z02,19,2013-09-24,2013-12-22,2013-12-23,2014-01-21,0.024725455584152956,11
z03,21,2013-11-23,2014-02-20,2014-02-21,2014-03-22,0.024197455933820278,11
z01,21,2013-11-23,2014-02-20,2014-02-21,2014-03-22,0.02228863714038809,11
z03,20,2013-10-24,2014-01-21,2014-01-22,2014-02-20,0.021619557837268655,11
z03,9,2012-11-28,2013-02-25,2013-02-26,2013-03-27,0.021130392763773154,11
z01,20,2013-10-24,2014-01-21,2014-01-22,2014-02-20,0.020737862224693204,11
z03,8,2012-10-29,2013-01-26,2013-01-27,2013-02-25,0.019913933979142318,11
z01,9,2012-11-28,2013-02-25,2013-02-26,2013-03-27,0.018658258283423157,11
z03,22,2013-12-23,2014-03-22,2014-03-23,2014-04-21,0.018499239349284657,11
z01,8,2012-10-29,2013-01-26,2013-01-27,2013-02-25,0.01693739559443852,11
z01,22,2013-12-23,2014-03-22,2014-03-23,2014-04-21,0.01658243422811334,11
z03,10,2012-12-28,2013-03-27,2013-03-28,2013-04-26,0.014775625968314499,11
z01,10,2012-12-28,2013-03-27,2013-03-28,2013-04-26,0.013105956172002609,11
z02,11,2013-01-27,2013-04-26,2013-04-27,2013-05-26,0.012847150935253904,11
z03,19,2013-09-24,2013-12-22,2013-12-23,2014-01-21,0.01218600498968092,11
z03,7,2012-09-29,2012-12-27,2012-12-28,2013-01-26,0.011739056364715506,11
z01,19,2013-09-24,2013-12-22,2013-12-23,2014-01-21,0.01138212187364851,11
z03,23,2014-01-22,2014-04-21,2014-04-22,2014-05-21,0.010699112984037251,11
z01,7,2012-09-29,2012-12-27,2012-12-28,2013-01-26,0.009698268727519332,11
z01,23,2014-01-22,2014-04-21,2014-04-22,2014-05-21,0.008956902617132778,11
