config,w1,w2,penalty_rate,nrmse,gap
AR,,,0.5,38.78348498553922,3.69646848766008
1/20,1.0,20.0,0.5,38.57752947799274,3.631548742118995
1/10,1.0,10.0,0.5,38.47240064156538,3.529825309155049
1/5,1.0,5.0,0.5,38.375814269123396,3.3513134128643025
1/2,1.0,2.0,0.5,38.212726134228035,2.82977955293492
1/1,1.0,1.0,0.5,81.320867827697,-8.525298394511266
2/1,2.0,1.0,0.5,156.82090413427002,-40.3461769110133
5/1,5.0,1.0,0.5,157.98229785223285,-42.201153484566106
10/1,10.0,1.0,0.5,157.98229785223396,-42.20115348456641
20/1,20.0,1.0,0.5,157.98229785222475,-42.201153484563804
1/0,1.0,0.0,0.5,157.98229785222298,-42.20115348456166
