sample_day,actual_test_day_index,test_date,hour_idx,actual,ar_forecast,proposed_forecast
0,0,2013-09-24,0,0.427435897,0.581448627029343,0.6913027767475943
0,0,2013-09-24,1,0.23775641,0.7465058723274414,0.7411127377465272
0,0,2013-09-24,2,0.305320513,0.7969752623841403,0.8181926012383761
0,0,2013-09-24,3,0.84525641,0.7600507912521028,0.7888857142738264
0,0,2013-09-24,4,0.713974359,0.7281996205273084,0.7291373207569289
0,0,2013-09-24,5,0.621602564,0.5819460917057631,0.6155640316714753
0,0,2013-09-24,6,0.437948718,0.4079906578422147,0.44382830851916166
0,0,2013-09-24,7,0.219615385,0.20542848588223311,0.24488175464469225
0,0,2013-09-24,8,0.049423077,0.05914425577245454,0.08582864419751901
0,0,2013-09-24,9,0.013846154,0.0103865871711228,0.09615593696988675
0,0,2013-09-24,10,0.000320513,0.001654901626232119,0.11528241660409111
0,0,2013-09-24,11,0.0,7.404130538692407e-05,0.8739255315773268
1,4,2013-09-28,0,0.71974359,0.6047001208682119,0.7069719777359114
1,4,2013-09-28,1,0.820384615,0.764880828310635,0.7451485969883977
1,4,2013-09-28,2,0.850576923,0.8114620843221199,0.8470961002777637
1,4,2013-09-28,3,0.836153846,0.77380937036241,0.7917747534075897
1,4,2013-09-28,4,0.794038462,0.7353780657939013,0.7306980398482759
1,4,2013-09-28,5,0.53775641,0.5916285486816231,0.6122997652045938
1,4,2013-09-28,6,0.182692308,0.410029578384027,0.442305440284434
1,4,2013-09-28,7,0.102564103,0.20464375513948746,0.24618324707533523
1,4,2013-09-28,8,0.052051282,0.05564677685764417,0.08554642780927688
1,4,2013-09-28,9,0.0125,0.010529700795346032,0.07217243056672051
1,4,2013-09-28,10,0.000384615,0.002073339883357949,0.08383807829983672
1,4,2013-09-28,11,0.0,9.156346565502958e-05,0.9036898416217124
2,8,2013-10-02,0,0.638397436,0.2823591330298765,0.4293203326084072
2,8,2013-10-02,1,0.820769231,0.48963740990902926,0.6174502003448816
2,8,2013-10-02,2,0.885448718,0.5852199985422046,1.0
2,8,2013-10-02,3,0.859935897,0.5291752700952377,0.7777586117338485
2,8,2013-10-02,4,0.776153846,0.5720404014549137,0.7042770202779615
2,8,2013-10-02,5,0.6375,0.533957118353519,0.628939144033571
2,8,2013-10-02,6,0.451346154,0.3428087565075048,0.4825865165321686
2,8,2013-10-02,7,0.230448718,0.21971224759563523,0.2633536794746256
2,8,2013-10-02,8,0.069487179,0.09396243732641399,0.11192797739492236
2,8,2013-10-02,9,0.015961538,0.0230240696533575,0.20200571454937646
2,8,2013-10-02,10,0.000576923,0.004071175226030689,0.35003763979596303
2,8,2013-10-02,11,0.0,0.00018284037504231267,0.7463799770386239
3,12,2013-10-06,0,0.508333333,0.5091187009988156,0.6350391719631372
3,12,2013-10-06,1,0.713205128,0.7314224905799209,0.7174438385694559
3,12,2013-10-06,2,0.816987179,0.782954697624632,1.0
3,12,2013-10-06,3,0.806346154,0.7121087605088117,0.8156619518867403
3,12,2013-10-06,4,0.68,0.7004467370845439,0.740382003032797
3,12,2013-10-06,5,0.722115385,0.6163433086577954,0.648124273327668
3,12,2013-10-06,6,0.603012821,0.4400701029589412,0.4875109473753244
3,12,2013-10-06,7,0.336474359,0.2524041303669261,0.2963077580577313
3,12,2013-10-06,8,0.088782051,0.09344212622645338,0.11224553707153051
3,12,2013-10-06,9,0.044679487,0.018407328551069118,0.19525030493951068
3,12,2013-10-06,10,0.025128205,0.0028690221205107023,0.3133506070617712
3,12,2013-10-06,11,0.000705128,0.00011633127999984125,0.950611124793845
4,16,2013-10-10,0,0.539487179,0.5087820137689449,0.5590018430985813
4,16,2013-10-10,1,0.711794872,0.7483858977916886,0.7307693957639133
4,16,2013-10-10,2,0.798269231,0.821882013735184,0.7264484147982729
4,16,2013-10-10,3,0.84025641,0.8407605145235507,0.8247028172575166
4,16,2013-10-10,4,0.789230769,0.8203622940514587,0.8076010268973491
4,16,2013-10-10,5,0.510384615,0.6966099255915048,0.7140787347861721
4,16,2013-10-10,6,0.511346154,0.5661759549099163,0.5805827515247284
4,16,2013-10-10,7,0.342179487,0.3993186853414322,0.4109563800297412
4,16,2013-10-10,8,0.224230769,0.18288875664577395,0.2514234431032671
4,16,2013-10-10,9,0.088461538,0.047705944897263985,0.5390320320020907
4,16,2013-10-10,10,0.032628205,0.012235640475947895,0.6591580037816113
4,16,2013-10-10,11,0.001025641,0.0020709005084958163,0.9322898140792052
5,20,2013-10-14,0,0.604230769,0.338899274689636,0.38998076196829423
5,20,2013-10-14,1,0.770320513,0.5826459662435884,0.602485244622369
5,20,2013-10-14,2,0.845641026,0.6910614594353356,0.5619461686346339
5,20,2013-10-14,3,0.871794872,0.6817504454566852,0.7081149930517171
5,20,2013-10-14,4,0.847179487,0.6870908504427685,0.7273509833665185
5,20,2013-10-14,5,0.745705128,0.5589639456219484,0.6298829844037135
5,20,2013-10-14,6,0.619166667,0.40081130778281054,0.49275058785595827
5,20,2013-10-14,7,0.422051282,0.2501059782452903,0.3173901574754853
5,20,2013-10-14,8,0.230641026,0.135390832373333,0.2047529677918184
5,20,2013-10-14,9,0.050833333,0.048583880106406685,0.30621790207196325
5,20,2013-10-14,10,0.02224359,0.011393152117792908,0.2758349357705835
5,20,2013-10-14,11,0.001602564,0.0004590952505895934,0.42421645616352455
6,24,2013-10-18,0,0.622884615,0.553070299632695,0.6835785449416836
6,24,2013-10-18,1,0.765641026,0.7001996022601522,0.7214710030908125
6,24,2013-10-18,2,0.829423077,0.7705823011616839,0.7491489140126195
