model,penalty_rate,nrmse,gap
AR,0.0,38.78348498553922,-2.1594844347230815
AR,0.1,38.78348498553922,-0.9882938502464185
AR,0.2,38.78348498553922,0.18289673423013494
AR,0.3,38.78348498553922,1.354087318706853
AR,0.4,38.78348498553922,2.5252779031833845
AR,0.5,38.78348498553922,3.69646848766008
AR,0.6,38.78348498553922,4.8676590721366555
AR,0.7,38.78348498553922,6.038849656613263
AR,0.8,38.78348498553922,7.21004024108984
AR,0.9,38.78348498553922,8.381230825566524
AR,1.0,38.78348498553922,9.552421410043122
Proposed,0.0,112.92853767224952,-56.69985792424022
Proposed,0.1,105.41776386030672,-43.541168104033424
Proposed,0.2,96.62929736659237,-29.759372528292168
Proposed,0.3,92.28476622539053,-21.89528048098827
Proposed,0.4,84.39256286038488,-14.101098562930765
Proposed,0.5,81.320867827697,-8.525298394511266
Proposed,0.6,76.57298246461153,-3.3930169121087372
Proposed,0.7,71.86972180853044,0.8673353964009034
Proposed,0.8,64.23423019788864,4.892796157218815
Proposed,0.9,40.03443717903141,8.145023918088498
Proposed,1.0,40.381924092666864,9.609644388933868
