hour,da_min,da_q1,da_median,da_q3,da_max,da_mean,rt_min,rt_q1,rt_median,rt_q3,rt_max,rt_mean
0,19.91,27.237499999999997,33.995000000000005,37.9875,54.41,33.55591666666667,18.07,23.3325,27.58,36.055,152.93,34.11841666666667
1,20.64,28.057499999999997,33.465,37.082499999999996,52.0,33.150416666666665,19.26,23.6725,27.47,37.239999999999995,96.33,31.737833333333334
2,20.8,28.07,32.245000000000005,36.4375,49.03,32.653333333333336,19.08,24.125,28.96,37.0225,171.91,33.659416666666665
3,20.72,26.755000000000003,30.47,35.175000000000004,46.51,31.142333333333337,16.25,23.805,26.759999999999998,35.5325,85.74,30.561666666666667
4,20.48,25.77,28.415,31.7275,42.57,29.109833333333327,18.88,23.4125,26.255000000000003,31.1025,58.19,28.713250000000002
5,20.1,24.685000000000002,26.67,29.8925,40.87,27.639750000000003,17.16,23.2175,25.225,27.7325,53.07,26.826249999999998
6,19.62,24.105,25.810000000000002,28.3925,37.23,26.413333333333338,12.27,22.6675,24.11,26.7075,50.2,25.168166666666668
7,19.33,23.580000000000002,25.16,27.2375,36.0,25.53525,14.03,21.965,23.97,25.5825,50.47,24.419416666666667
8,19.59,23.8125,25.43,27.6,37.15,25.77725,14.14,22.31,23.69,25.2875,65.23,24.467499999999998
9,20.61,27.125,31.005000000000003,37.085,52.84,32.5325,17.44,23.3925,25.865000000000002,30.8825,93.75,29.759166666666665
10,23.48,33.235,37.515,41.6825,61.24,37.95775,18.39,25.4175,29.060000000000002,39.947500000000005,132.43,36.84825
11,23.71,32.1575,36.045,39.4875,54.33,36.12683333333334,18.87,25.0775,29.71,38.285,98.93,34.20066666666666
12,21.98,30.2225,33.185,37.0175,49.27,33.53958333333333,17.42,24.384999999999998,28.7,33.29,350.4,36.06525
13,20.3,26.0125,29.065,32.54,43.71,29.459333333333333,18.88,22.845,25.495,30.2125,149.07,29.829333333333338
14,19.11,23.330000000000002,25.785,28.1325,35.6,25.9655,14.86,21.732499999999998,24.0,26.575,45.06,25.01608333333333
15,17.75,21.655,23.575000000000003,25.23,32.22,23.642833333333332,10.97,21.06,22.6,24.685,59.34,23.610916666666665
16,14.93,20.2675,22.75,24.5225,37.07,22.79708333333333,14.42,20.5025,22.525,24.775,148.27,25.20625
17,13.42,19.7725,22.055,23.73,33.52,21.995333333333335,11.61,20.0175,21.659999999999997,23.6375,41.44,22.17591666666667
18,12.44,19.832500000000003,21.615000000000002,23.02,32.51,21.545666666666666,6.91,19.8525,21.42,23.2225,34.19,21.604499999999998
19,12.06,19.862499999999997,21.880000000000003,23.22,34.11,21.565333333333335,10.12,19.9225,21.555,23.2725,48.18,21.66725
20,12.45,20.0175,21.775,23.5825,34.19,21.71791666666667,5.61,19.875,21.715,23.42,38.01,21.67691666666667
21,13.64,20.505000000000003,22.855,24.7925,41.7,23.337666666666667,11.3,20.37,22.455,24.435,43.61,22.782833333333336
22,16.53,22.95,26.275,30.0275,57.87,27.63725,14.4,21.955,24.04,27.3475,101.19,26.600333333333335
23,19.31,26.1225,31.985,36.7175,63.8,32.65441666666667,16.5,23.03,27.33,34.495000000000005,159.34,33.58525
