config,w1,w2,penalty_rate,nrmse,gap
AR,,,0.5,45.861971843095816,1.7187366618999207
1/20,1.0,20.0,0.5,45.81503481879005,1.78985738001292
1/10,1.0,10.0,0.5,46.399781667026886,1.3602144032510128
1/5,1.0,5.0,0.5,45.69420849624858,1.1629212718053414
1/2,1.0,2.0,0.5,42.21217280739319,-0.6654785358718566
1/1,1.0,1.0,0.5,46.82492621655919,-3.806246640721088
2/1,2.0,1.0,0.5,157.0084454078787,-53.788140738439175
5/1,5.0,1.0,0.5,157.00844540787878,-53.788140738439544
10/1,10.0,1.0,0.5,157.00844540787915,-53.78814073843978
20/1,20.0,1.0,0.5,157.00844540787924,-53.78814073843979
1/0,1.0,0.0,0.5,157.00844540787904,-53.78814073843971
