model,penalty_rate,nrmse,gap
AR,0.0,36.11893394807445,-9.24112293015942
AR,0.1,36.11893394807445,-7.539883626108068
AR,0.2,36.11893394807445,-5.838644322056757
AR,0.3,36.11893394807445,-4.137405018005445
AR,0.4,36.11893394807445,-2.436165713954175
AR,0.5,36.11893394807445,-0.7349264099028222
AR,0.6,36.11893394807445,0.966312894148503
AR,0.7,36.11893394807445,2.6675521981998553
AR,0.8,36.11893394807445,4.368791502251153
AR,0.9,36.11893394807445,6.070030806302437
AR,1.0,36.11893394807445,7.7712701103537905
Proposed,0.0,78.4645913388962,-36.40593976393292
Proposed,0.1,79.58797349053525,-34.60528892899844
Proposed,0.2,80.1902383686054,-30.53851009463787
Proposed,0.3,79.718805059675,-23.89434675177613
Proposed,0.4,73.37475463860544,-16.076612565787954
Proposed,0.5,68.03821554955432,-10.275402685572256
Proposed,0.6,59.395574427512045,-4.8954695835671735
Proposed,0.7,64.13417009312242,-1.7630403801993604
Proposed,0.8,43.4345252158192,3.5652096385564183
Proposed,0.9,41.06129649076348,5.8462502862805215
Proposed,1.0,36.64612105589759,7.69179402125493
