hour,da_min,da_q1,da_median,da_q3,da_max,da_mean,rt_min,rt_q1,rt_median,rt_q3,rt_max,rt_mean
0,22.5,28.677500000000002,33.01,38.597500000000004,61.78,34.34858333333333,16.7,24.7325,29.240000000000002,37.595,107.33,34.95116666666666
1,22.73,30.32,33.955,40.3075,60.32,35.49750000000001,20.44,25.9975,29.990000000000002,37.555,99.91,35.86741666666667
2,22.96,30.545,35.03,40.775,58.07,35.889495798319324,18.09,26.335,30.17,38.34,198.36,36.769159663865544
3,22.35,29.685,33.895,39.989999999999995,61.57,35.47675,17.79,26.11,30.37,40.205,127.46,36.12833333333333
4,21.32,28.9225,32.695,38.5325,77.54,35.140499999999996,18.14,24.877499999999998,29.485,40.9125,142.45000000000002,37.33983333333334
5,20.1,28.085,31.98,37.045,81.31,34.534083333333335,16.62,24.3325,28.475,37.89,99.8,33.745250000000006
6,18.71,27.185000000000002,31.32,36.4375,99.05,34.604166666666664,15.88,24.0375,27.924999999999997,36.775,159.07,34.977666666666664
7,18.1,26.505000000000003,29.97,35.962500000000006,81.59,33.55408333333334,14.88,23.237499999999997,26.73,36.0525,115.38,33.26833333333333
8,18.73,26.9775,30.145,35.6275,65.74,32.726416666666665,14.35,23.7575,26.755000000000003,34.41,69.55,30.788750000000004
9,24.86,30.785,35.735,42.625,59.7,37.36833333333334,19.15,26.41,31.865000000000002,40.8725,178.66,37.351
10,25.36,34.415,40.495000000000005,47.84,71.79,42.28574999999999,21.88,27.605,33.66,52.434999999999995,124.33,41.84158333333333
11,23.74,31.585,35.85,43.79,63.9,37.82541666666667,17.98,25.5775,29.245,37.7675,109.03,34.12841666666667
12,21.16,26.635,31.435,36.8425,59.45,32.76225,11.91,22.675,26.265,35.415,69.2,29.88016666666667
13,16.5,23.275,26.535,31.497500000000002,54.35,28.386,7.88,21.405,24.134999999999998,31.1,86.97,27.301750000000002
14,14.15,21.4075,23.655,27.025000000000002,46.49,25.007916666666667,5.39,19.122500000000002,22.52,25.605,72.7,23.81908333333333
15,10.0,19.3975,22.09,24.7975,38.84,22.329833333333333,-23.66,17.7375,20.7,24.645,55.26,21.526833333333332
16,9.14,17.835,20.895,23.7475,40.26,20.936083333333332,-22.35,16.990000000000002,20.095,23.455,72.04,20.699166666666663
17,8.43,16.765,19.91,22.880000000000003,34.22,19.84808333333333,-17.63,17.16,19.82,23.0825,33.1,18.967083333333335
18,7.45,16.270000000000003,19.425,22.285,31.94,19.319333333333336,0.13,16.9825,19.494999999999997,22.6425,58.66,19.45783333333333
19,10.31,17.1925,20.025,22.2125,31.11,19.61116666666667,0.0,16.557499999999997,20.425,23.1125,49.45,19.604416666666665
20,10.68,18.7225,21.59,23.84,32.83,21.264666666666663,7.52,18.6275,21.880000000000003,24.165,42.2,21.697666666666667
21,15.93,21.53,24.035,27.71,37.2,24.69158333333333,11.01,20.155,23.66,26.8825,76.89,25.179250000000003
22,17.55,25.14,28.72,31.6475,52.62,29.415333333333333,14.22,22.572499999999998,26.064999999999998,31.8575,398.54,32.01058333333334
23,20.39,26.9525,31.09,36.725,59.63,32.775333333333336,16.17,24.515,28.05,36.209999999999994,93.61,32.650333333333336
