config,w1,w2,penalty_rate,nrmse,gap
AR,,,0.5,32.88951979954359,0.6142171950590642
1/20,1.0,20.0,0.5,32.98643766643785,0.41112959618506034
1/10,1.0,10.0,0.5,33.58779310138393,0.06728878725755617
1/5,1.0,5.0,0.5,34.71066122113739,-0.7094711847138536
1/2,1.0,2.0,0.5,37.37427419829043,-2.4343370075832858
1/1,1.0,1.0,0.5,60.87839811616795,-9.50161181913233
2/1,2.0,1.0,0.5,97.9686596854294,-25.57794372826111
5/1,5.0,1.0,0.5,97.9686596854293,-25.577943728260838
10/1,10.0,1.0,0.5,97.96865968542983,-25.577943728261275
20/1,20.0,1.0,0.5,97.96865968542943,-25.577943728261246
1/0,1.0,0.0,0.5,97.96865968542976,-25.577943728261168
