model,penalty_rate,nrmse,gap
AR,0.0,32.88951979954359,-6.596793756723126
AR,0.1,32.88951979954359,-5.154591566366747
AR,0.2,32.88951979954359,-3.7123893760102877
AR,0.3,32.88951979954359,-2.2701871856538554
AR,0.4,32.88951979954359,-0.8279849952973818
AR,0.5,32.88951979954359,0.6142171950590642
AR,0.6,32.88951979954359,2.0564193854154693
AR,0.7,32.88951979954359,3.4986215757719155
AR,0.8,32.88951979954359,4.940823766128362
AR,0.9,32.88951979954359,6.3830259564847935
AR,1.0,32.88951979954359,7.8252281468412255
Proposed,0.0,78.05059454607564,-42.11057587569923
Proposed,0.1,76.68207134621387,-35.16077832129079
Proposed,0.2,75.51168342521792,-29.068007847747005
Proposed,0.3,74.10928439643338,-22.96706476821174
Proposed,0.4,67.65788371514776,-15.315620939822
Proposed,0.5,60.87839811616795,-9.50161181913233
Proposed,0.6,55.29770022433085,-4.618487458598571
Proposed,0.7,43.78087301975146,0.006485005887668566
Proposed,0.8,37.52189372092873,3.6358543585967658
Proposed,0.9,35.92715965431279,5.98523885564861
Proposed,1.0,33.38204511663579,7.768501745817515
