config,w1,w2,penalty_rate,nrmse,gap
AR,,,0.5,37.43242374004332,3.7201649147358977
1/20,1.0,20.0,0.5,37.271304300307875,3.6588086837502365
1/10,1.0,10.0,0.5,37.12138703324201,3.550183474966777
1/5,1.0,5.0,0.5,36.96864693738757,3.4367874997049324
1/2,1.0,2.0,0.5,37.41830287229734,2.6945114332243985
1/1,1.0,1.0,0.5,64.61094639085067,-5.469076562772307
2/1,2.0,1.0,0.5,127.9364113587692,-30.586634390240516
5/1,5.0,1.0,0.5,128.64883883667986,-31.971120159877593
10/1,10.0,1.0,0.5,128.64883883667952,-31.971120159877614
20/1,20.0,1.0,0.5,128.6488388366802,-31.971120159878303
1/0,1.0,0.0,0.5,128.64883883667943,-31.971120159878083
