sample_day,actual_test_day_index,test_date,hour_idx,actual,ar_forecast,proposed_forecast
0,0,2013-09-24,0,0.543375,0.5393457817783557,0.5714008723749547
0,0,2013-09-24,1,0.4109,0.7413591701401224,0.7215557995862116
0,0,2013-09-24,2,0.691975,0.8225013650026926,0.8518561753197977
0,0,2013-09-24,3,0.879775,0.816346711836913,0.8090114071400822
0,0,2013-09-24,4,0.727975,0.7720131377403112,0.7832694208002562
0,0,2013-09-24,5,0.724675,0.6758960086310559,0.6838047456331754
0,0,2013-09-24,6,0.524025,0.5047605141752611,0.5164042748453594
0,0,2013-09-24,7,0.336675,0.30025262102364636,0.33656219619082467
0,0,2013-09-24,8,0.086575,0.09627864850399168,0.10329897447279535
0,0,2013-09-24,9,0.0203,0.020312721796927925,0.04025415943097959
0,0,2013-09-24,10,0.000175,0.0021459475463693153,0.06751380955414167
0,0,2013-09-24,11,0.0,6.015824805735408e-05,0.9949080694686376
1,4,2013-09-28,0,0.7092,0.5527213422240257,0.5781212197007285
1,4,2013-09-28,1,0.852,0.7610824625621316,0.7334656053130699
1,4,2013-09-28,2,0.901925,0.8424569341777457,0.8762622544990678
1,4,2013-09-28,3,0.925625,0.8296747779260086,0.8163494533391185
1,4,2013-09-28,4,0.91715,0.7804325467968118,0.7888177813923705
1,4,2013-09-28,5,0.817575,0.6868293364069012,0.6893947733007876
1,4,2013-09-28,6,0.469275,0.5071733815180749,0.5142213787741248
1,4,2013-09-28,7,0.194125,0.3039624880917834,0.34072737571075334
1,4,2013-09-28,8,0.079425,0.09343787417164873,0.09630955521212017
1,4,2013-09-28,9,0.04175,0.015703880524234354,0.03613133721147779
1,4,2013-09-28,10,0.000225,0.0016334441104290977,0.052949903633778134
1,4,2013-09-28,11,0.0,4.365059274628858e-05,1.0
2,8,2013-10-02,0,0.39975,0.2289490510625985,0.44127667187185143
2,8,2013-10-02,1,0.751325,0.49876561805367614,0.619729747071416
2,8,2013-10-02,2,0.9511,0.5986251095769332,0.5475586566315946
2,8,2013-10-02,3,0.944325,0.5631243821434324,0.7093213724996612
2,8,2013-10-02,4,0.894575,0.518340987050874,0.6970599056089107
2,8,2013-10-02,5,0.787825,0.47470499348395145,0.5838995623981995
2,8,2013-10-02,6,0.61325,0.30502780819803077,0.5043073743963137
2,8,2013-10-02,7,0.389025,0.22709286996528924,0.22111327659443306
2,8,2013-10-02,8,0.12275,0.11219915114702214,0.08324419213175405
2,8,2013-10-02,9,0.02505,0.023816002650964358,0.03413675238222553
2,8,2013-10-02,10,0.000375,0.0024397833546845674,0.07266912789295907
2,8,2013-10-02,11,0.0,6.418979982290748e-05,0.36059947803333026
3,12,2013-10-06,0,0.3728,0.376109721136318,0.4796219860034878
3,12,2013-10-06,1,0.67155,0.58843529545811,0.6959995441743121
3,12,2013-10-06,2,0.855075,0.7093082022009907,0.8485449915114676
3,12,2013-10-06,3,0.74435,0.6991427632650453,0.7897706661702701
3,12,2013-10-06,4,0.78975,0.6737685690673599,0.7396571112552071
3,12,2013-10-06,5,0.624575,0.6224006460578422,0.6645208512298401
3,12,2013-10-06,6,0.7554,0.45758269538706053,0.5226268798846754
3,12,2013-10-06,7,0.410625,0.31140825185898824,0.29635624559000917
3,12,2013-10-06,8,0.156975,0.1118595148507173,0.10962614125853257
3,12,2013-10-06,9,0.10475,0.023038421597923492,0.047737545446565166
3,12,2013-10-06,10,0.037,0.002438281487051095,0.07786781583708324
3,12,2013-10-06,11,0.00135,6.438550481258639e-05,0.7999138194078232
4,16,2013-10-10,0,0.5228,0.4724191347866913,0.47462244357814254
4,16,2013-10-10,1,0.72435,0.6924780491737388,0.6907664909782311
4,16,2013-10-10,2,0.851725,0.807089806244734,0.7027075458175325
4,16,2013-10-10,3,0.913625,0.8580045080314647,0.8698753352817387
4,16,2013-10-10,4,0.900775,0.8472091543448653,0.8646543372032386
4,16,2013-10-10,5,0.773025,0.7605879321910334,0.8115896948514649
4,16,2013-10-10,6,0.744625,0.6497877629397333,0.6909530845862626
4,16,2013-10-10,7,0.59815,0.5515191463481653,0.5795009509362226
4,16,2013-10-10,8,0.300075,0.31704932706148053,0.3470733462632279
4,16,2013-10-10,9,0.109825,0.10695852021542794,0.265145718056199
4,16,2013-10-10,10,0.023825,0.018448178370562982,0.356877114185049
4,16,2013-10-10,11,0.00065,0.00184366356169599,0.7431640816422586
5,20,2013-10-14,0,0.5865,0.5029481208833563,0.5691238361437938
5,20,2013-10-14,1,0.76725,0.7492610846311357,0.7779229254847806
5,20,2013-10-14,2,0.8708,0.8954265940095489,0.870687270288196
5,20,2013-10-14,3,0.91005,0.8856820677807158,0.8651491393524455
5,20,2013-10-14,4,0.910975,0.8588527023610131,0.8821566480461129
5,20,2013-10-14,5,0.458725,0.8301567327244732,0.798852664080694
5,20,2013-10-14,6,0.19215,0.6217953765731755,0.624982738451953
5,20,2013-10-14,7,0.542675,0.41125915687794723,0.3553951759282846
5,20,2013-10-14,8,0.640575,0.1877182853086551,0.2021612515511223
5,20,2013-10-14,9,0.09315,0.08469251259625799,0.2550245240065954
5,20,2013-10-14,10,0.026025,0.01749340853889878,0.2976110091803925
5,20,2013-10-14,11,0.0029,0.0016644787575752632,1.0
6,24,2013-10-18,0,0.58475,0.22392827397377302,0.40035989388657334
6,24,2013-10-18,1,0.764375,0.49955267547766313,0.6101881350455443
6,24,2013-10-18,2,0.882975,0.607624915128105,0.6162534558767547
6,24,2013-10-18,3,0.93745,0.6671457726172317,0.8091175545851443
6,24,2013-10-18,4,0.944725,0.6396672088111012,0.8239686378381126
6,24,2013-10-18,5,0.8877,0.616123535297249,0.7303659968346743
6,24,2013-10-18,6,0.7878,0.4835744899599759,0.7393194795951816
6,24,2013-10-18,7,0.620075,0.4821795003474384,0.5439532344583312
6,24,2013-10-18,8,0.380675,0.3560223500774004,0.43948840158121055
6,24,2013-10-18,9,0.121175,0.15969703965655951,0.45840941138631097
6,24,2013-10-18,10,0.022925,0.033585675475837524,0.5408934810095991
6,24,2013-10-18,11,0.0025,0.0041519604098077525,0.3809843223255236
