model,penalty_rate,nrmse,gap
AR,0.0,37.43242374004332,-1.6996255802335314
AR,0.1,37.43242374004332,-0.6156674812396612
AR,0.2,37.43242374004332,0.4682906177542089
AR,0.3,37.43242374004332,1.5522487167481573
AR,0.4,37.43242374004332,2.6362068157419687
AR,0.5,37.43242374004332,3.7201649147358977
AR,0.6,37.43242374004332,4.804123013729846
AR,0.7,37.43242374004332,5.888081112723619
AR,0.8,37.43242374004332,6.972039211717469
AR,0.9,37.43242374004332,8.055997310711358
AR,1.0,37.43242374004332,9.139955409705287
Proposed,0.0,83.5199832421176,-36.59762232842219
Proposed,0.1,80.40343486507963,-28.838326117961447
Proposed,0.2,75.3867642715752,-20.895894792878433
Proposed,0.3,72.20536480276083,-15.231770291291697
Proposed,0.4,68.60046224322777,-10.11051687584166
Proposed,0.5,64.61094639085067,-5.469076562772307
Proposed,0.6,61.114139790455866,-1.3096691811870704
Proposed,0.7,52.03719897576594,2.8761274005868205
Proposed,0.8,39.05641821907732,6.264425418173775
Proposed,0.9,38.51155576869418,7.928137933738532
Proposed,1.0,39.02620531196384,9.23205554783252
