zone,block,test_start,test_end,season,ar_nrmse
Z1,1,2012-07-01,2012-07-30,겨울,48.47
Z1,2,2012-07-31,2012-08-29,겨울,55.23
Z1,3,2012-08-30,2012-09-28,봄,53.92
Z1,4,2012-09-29,2012-10-28,봄,103.32
Z1,5,2012-10-29,2012-11-27,봄,58.54
Z1,6,2012-11-28,2012-12-27,여름,50.18
Z1,7,2012-12-28,2013-01-26,여름,26.45
Z1,8,2013-01-27,2013-02-25,여름,46.27
Z1,9,2013-02-26,2013-03-27,가을,38.95
Z1,10,2013-03-28,2013-04-26,가을,60.01
Z1,11,2013-04-27,2013-05-26,가을,47.48
Z1,12,2013-05-27,2013-06-25,겨울,80.64
Z1,13,2013-06-26,2013-07-25,겨울,77.16
Z1,14,2013-07-26,2013-08-24,겨울,68.52
Z1,15,2013-08-25,2013-09-23,봄,87.72
Z1,16,2013-09-24,2013-10-23,봄,114.91
Z1,17,2013-10-24,2013-11-22,봄,66.19
Z1,18,2013-11-23,2013-12-22,여름,44.7
Z1,19,2013-12-23,2014-01-21,여름,43.18
Z1,20,2014-01-22,2014-02-20,여름,46.06
Z1,21,2014-02-21,2014-03-22,가을,55.07
Z1,22,2014-03-23,2014-04-21,가을,72.37
Z1,23,2014-04-22,2014-05-21,가을,55.48
Z1,24,2014-05-22,2014-06-20,겨울,68.88
