model,penalty_rate,nRMSE_overall,nRMSE_per_day_avg,optimality_gap
AR,0.0,86.55008339047102,142.18391121184484,7.446499193559134
AR,0.1,86.55008339047102,142.18391121184484,11.589532509226377
AR,0.2,86.55008339047102,142.18391121184484,15.732565824893639
AR,0.3,86.55008339047102,142.18391121184484,19.87559914056092
AR,0.4,86.55008339047102,142.18391121184484,24.01863245622819
AR,0.5,86.55008339047102,142.18391121184484,28.161665771895443
AR,0.6,86.55008339047102,142.18391121184484,32.30469908756272
AR,0.7,86.55008339047102,142.18391121184484,36.447732403229985
AR,0.8,86.55008339047102,142.18391121184484,40.590765718897245
AR,0.9,86.55008339047102,142.18391121184484,44.733799034564505
AR,1.0,86.55008339047102,142.18391121184484,48.876832350231766
