Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
AR,,,36.112666299164616,25.41424341908172,34.76,15.04,1.3526662991646177,10.374243419081722
1/20,1,20,60.35,19.41,34.89,13.91,25.46,5.5
1/10,1,10,55.64,20.79,35.14,13.42,20.5,7.37
1/5,1,5,54.42,21.23,36.28,12.71,18.14,8.52
1/2,1,2,54.4,21.37,41.09,11.88,13.31,9.49
1/1,1,1,54.59,21.31,44.95,11.44,9.64,9.87
2/1,2,1,53.64,21.52,46.11,11.38,7.53,10.14
5/1,5,1,53.79,21.49,48.27,11.38,5.52,10.11
10/1,10,1,58.86,20.17,49.21,11.36,9.65,8.81
20/1,20,1,58.86,20.17,49.61,11.36,9.25,8.81
1/0,1,0,69.32,17.56,50.07,11.36,19.25,6.2
