Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
AR,,,36.112666299164616,14.940838037826447,34.76,15.04,1.3526662991646177,-0.099161962173552
1/20,1,20,35.69,14.54,34.89,13.91,0.8,0.63
1/10,1,10,35.68,14.35,35.14,13.42,0.54,0.93
1/5,1,5,35.29,14.09,36.28,12.71,-0.99,1.38
1/2,1,2,36.98,14.18,41.09,11.88,-4.11,2.3
1/1,1,1,37.46,13.7,44.95,11.44,-7.49,2.26
2/1,2,1,39.92,12.95,46.11,11.38,-6.19,1.57
5/1,5,1,45.1,11.5,48.27,11.38,-3.17,0.12
10/1,10,1,54.75,10.94,49.21,11.36,5.54,-0.42
20/1,20,1,63.15,10.33,49.61,11.36,13.54,-1.03
1/0,1,0,67.84,10.69,50.07,11.36,17.77,-0.67
