rate,Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
0.3,1/20,1,20,36.24,29.91,34.89,13.91,1.35,16.0
0.3,1/10,1,10,35.94,30.18,35.14,13.42,0.8,16.76
0.3,1/5,1,5,36.41,30.15,36.28,12.71,0.13,17.44
0.3,1/1,1,1,82.94,17.15,44.95,11.44,37.99,5.71
0.3,1/0,1,0,116.45,3.24,50.07,11.36,66.38,-8.12
0.4,1/20,1,20,36.34,27.45,34.89,13.91,1.45,13.54
0.4,1/10,1,10,35.74,27.79,35.14,13.42,0.6,14.37
0.4,1/5,1,5,36.41,27.6,36.28,12.71,0.13,14.89
0.4,1/1,1,1,82.71,16.41,44.95,11.44,37.76,4.97
0.4,1/0,1,0,116.45,3.87,50.07,11.36,66.38,-7.49
0.5,1/20,1,20,36.35,24.75,34.89,13.91,1.46,10.84
0.5,1/10,1,10,36.12,24.88,35.14,13.42,0.98,11.46
0.5,1/5,1,5,36.19,24.97,36.28,12.71,-0.09,12.26
0.5,1/1,1,1,70.79,17.54,44.95,11.44,25.84,6.1
0.5,1/0,1,0,116.45,4.62,50.07,11.36,66.38,-6.74
0.6,1/20,1,20,36.4,21.84,34.89,13.91,1.51,7.93
0.6,1/10,1,10,36.13,21.97,35.14,13.42,0.99,8.55
0.6,1/5,1,5,35.92,22.08,36.28,12.71,-0.36,9.37
0.6,1/1,1,1,63.83,16.89,44.95,11.44,18.88,5.45
0.6,1/0,1,0,116.45,5.59,50.07,11.36,66.38,-5.77
0.7,1/20,1,20,36.35,18.76,34.89,13.91,1.46,4.85
0.7,1/10,1,10,36.16,18.8,35.14,13.42,1.02,5.38
0.7,1/5,1,5,36.58,18.62,36.28,12.71,0.3,5.91
0.7,1/1,1,1,67.38,15.34,44.95,11.44,22.43,3.9
0.7,1/0,1,0,121.09,7.92,50.07,11.36,71.02,-3.44
0.8,1/20,1,20,36.12,15.45,34.89,13.91,1.23,1.54
0.8,1/10,1,10,36.77,15.23,35.14,13.42,1.63,1.81
0.8,1/5,1,5,36.62,15.26,36.28,12.71,0.34,2.55
0.8,1/1,1,1,67.79,13.46,44.95,11.44,22.84,2.02
0.8,1/0,1,0,117.43,10.0,50.07,11.36,67.36,-1.36
0.9,1/20,1,20,36.1,11.89,34.89,13.91,1.21,-2.02
0.9,1/10,1,10,36.67,11.78,35.14,13.42,1.53,-1.64
0.9,1/5,1,5,35.69,11.77,36.28,12.71,-0.59,-0.94
0.9,1/1,1,1,56.85,11.31,44.95,11.44,11.9,-0.13
0.9,1/0,1,0,114.79,11.93,50.07,11.36,64.72,0.57
1.0,1/20,1,20,36.08,8.96,34.89,13.91,1.19,-4.95
1.0,1/10,1,10,35.44,8.8,35.14,13.42,0.3,-4.62
1.0,1/5,1,5,35.21,8.65,36.28,12.71,-1.07,-4.06
1.0,1/1,1,1,36.78,8.61,44.95,11.44,-8.17,-2.83
1.0,1/0,1,0,70.03,9.27,50.07,11.36,19.96,-2.09
1.2,1/20,1,20,35.45,12.21,34.89,13.91,0.56,-1.7
1.2,1/10,1,10,35.61,12.09,35.14,13.42,0.47,-1.33
1.2,1/5,1,5,35.46,11.96,36.28,12.71,-0.82,-0.75
1.2,1/1,1,1,37.68,12.25,44.95,11.44,-7.27,0.81
1.2,1/0,1,0,65.96,11.84,50.07,11.36,15.89,0.48
1.5,1/20,1,20,35.61,17.2,34.89,13.91,0.72,3.29
1.5,1/10,1,10,35.88,16.86,35.14,13.42,0.74,3.44
1.5,1/5,1,5,36.1,16.58,36.28,12.71,-0.18,3.87
1.5,1/1,1,1,36.6,16.01,44.95,11.44,-8.35,4.57
1.5,1/0,1,0,71.63,10.99,50.07,11.36,21.56,-0.37
