rate,Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
0.3,1/20,1,20,24.25,33.58,21.92,11.91,2.33,21.67
0.3,1/10,1,10,24.37,33.38,21.84,11.68,2.53,21.7
0.3,1/5,1,5,24.72,33.0,21.75,11.15,2.97,21.85
0.3,1/1,1,1,41.96,25.46,22.01,10.28,19.95,15.18
0.3,1/0,1,0,116.45,3.24,37.67,9.28,78.78,-6.04
0.4,1/20,1,20,24.25,30.73,21.92,11.91,2.33,18.82
0.4,1/10,1,10,24.36,30.55,21.84,11.68,2.52,18.87
0.4,1/5,1,5,24.55,30.39,21.75,11.15,2.8,19.24
0.4,1/1,1,1,34.11,25.97,22.01,10.28,12.1,15.69
0.4,1/0,1,0,116.45,3.87,37.67,9.28,78.78,-5.41
0.5,1/20,1,20,24.22,27.6,21.92,11.91,2.3,15.69
0.5,1/10,1,10,24.31,27.45,21.84,11.68,2.47,15.77
0.5,1/5,1,5,24.52,27.31,21.75,11.15,2.77,16.16
0.5,1/1,1,1,34.61,23.56,22.01,10.28,12.6,13.28
0.5,1/0,1,0,116.45,4.62,37.67,9.28,78.78,-4.66
0.6,1/20,1,20,24.21,24.18,21.92,11.91,2.29,12.27
0.6,1/10,1,10,24.28,24.07,21.84,11.68,2.44,12.39
0.6,1/5,1,5,24.4,24.01,21.75,11.15,2.65,12.86
0.6,1/1,1,1,27.71,22.4,22.01,10.28,5.7,12.12
0.6,1/0,1,0,116.45,5.59,37.67,9.28,78.78,-3.69
0.7,1/20,1,20,24.2,20.45,21.92,11.91,2.28,8.54
0.7,1/10,1,10,24.25,20.43,21.84,11.68,2.41,8.75
0.7,1/5,1,5,24.35,20.33,21.75,11.15,2.6,9.18
0.7,1/1,1,1,26.24,19.53,22.01,10.28,4.23,9.25
0.7,1/0,1,0,116.45,6.8,37.67,9.28,78.78,-2.48
0.8,1/20,1,20,24.19,16.38,21.92,11.91,2.27,4.47
0.8,1/10,1,10,24.21,16.37,21.84,11.68,2.37,4.69
0.8,1/5,1,5,24.27,16.32,21.75,11.15,2.52,5.17
0.8,1/1,1,1,25.06,16.05,22.01,10.28,3.05,5.77
0.8,1/0,1,0,116.45,8.33,37.67,9.28,78.78,-0.95
0.9,1/20,1,20,24.19,12.07,21.92,11.91,2.27,0.16
0.9,1/10,1,10,24.19,12.07,21.84,11.68,2.35,0.39
0.9,1/5,1,5,24.19,12.06,21.75,11.15,2.44,0.91
0.9,1/1,1,1,24.2,12.03,22.01,10.28,2.19,1.75
0.9,1/0,1,0,103.56,10.52,37.67,9.28,65.89,1.24
1.0,1/20,1,20,24.12,8.24,21.92,11.91,2.2,-3.67
1.0,1/10,1,10,24.11,8.24,21.84,11.68,2.27,-3.44
1.0,1/5,1,5,24.08,8.23,21.75,11.15,2.33,-2.92
1.0,1/1,1,1,23.83,8.2,22.01,10.28,1.82,-2.08
1.0,1/0,1,0,25.01,8.55,37.67,9.28,-12.66,-0.73
1.2,1/20,1,20,24.08,10.14,21.92,11.91,2.16,-1.77
1.2,1/10,1,10,24.04,10.11,21.84,11.68,2.2,-1.57
1.2,1/5,1,5,23.97,10.07,21.75,11.15,2.22,-1.08
1.2,1/1,1,1,23.22,9.72,22.01,10.28,1.21,-0.56
1.2,1/0,1,0,40.97,9.72,37.67,9.28,3.3,0.44
1.5,1/20,1,20,24.03,12.92,21.92,11.91,2.11,1.01
1.5,1/10,1,10,23.91,12.74,21.84,11.68,2.07,1.06
1.5,1/5,1,5,23.7,12.52,21.75,11.15,1.95,1.37
1.5,1/1,1,1,23.03,11.57,22.01,10.28,1.02,1.29
1.5,1/0,1,0,59.4,10.39,37.67,9.28,21.73,1.11
