Rate,AR_base_nRMSE,AR_base_Gap,AR_prop_nRMSE,AR_prop_Gap
0.0,36.11,13.47,57.92,13.62
0.1,36.11,11.84,36.96,11.48
0.2,36.11,11.37,37.35,11.21
0.3,36.11,11.9,37.47,11.5
0.4,36.11,13.27,37.85,12.25
0.5,36.11,14.94,37.46,13.7
0.6,36.11,16.64,37.07,15.09
0.7,36.11,18.35,36.48,16.09
0.8,36.11,20.05,36.08,16.17
0.9,36.11,21.76,38.68,17.42
1.0,36.11,23.46,38.96,17.97
1.1,36.11,25.16,39.77,19.46
1.2,36.11,26.87,39.94,19.76
1.3,36.11,28.57,40.36,20.1
1.4,36.11,30.27,41.09,21.13
1.5,36.11,31.98,42.63,22.67
