Label,W1,W2,Code_nRMSE,Paper_nRMSE,Delta_nRMSE,Code_Gap,Paper_Gap,Delta_Gap
1/20,1,20,24.25,21.92,2.33,3.02,11.91,-8.89
1/10,1,10,24.36,22.15,2.21,2.79,11.68,-8.89
1/5,1,5,24.54,22.86,1.68,2.60,11.25,-8.65
1/2,1,2,25.92,24.18,1.74,1.20,10.82,-9.62
1/1,1,1,32.35,26.38,5.97,-2.34,10.15,-12.49
2/1,2,1,116.45,27.84,88.61,-30.43,9.92,-40.35
5/1,5,1,116.45,30.12,86.33,-30.43,9.82,-40.25
10/1,10,1,116.45,32.45,84.00,-30.43,9.78,-40.21
20/1,20,1,116.45,34.21,82.24,-30.43,9.78,-40.21
1/0,1,0,116.45,35.12,81.33,-30.43,9.78,-40.21
0/1,0,1,21.76,21.76,0.00,12.59,12.59,0.00
