Rate,MLR_nRMSE,MLR_Gap,Proposed_nRMSE,Proposed_Gap,Paper_MLR_nRMSE,Paper_MLR_Gap,Paper_Proposed_nRMSE,Paper_Proposed_Gap
0.0,24.4302,41.0333,47.7942,27.5477,21.8,7.8,24.0,7.3
0.1,24.4302,38.8402,51.9101,23.0994,21.8,8.7,22.5,8.8
0.2,24.4302,36.4309,44.3826,26.2912,21.8,9.6,21.7,9.7
0.3,24.4302,33.7895,41.9588,25.4603,21.8,10.5,21.3,10.0
0.4,24.4302,30.9049,34.1052,25.966,21.8,11.4,21.8,10.3
0.5,24.4302,27.7352,34.611,23.5599,21.8,12.4,22.0,10.3
0.6,24.4302,24.2878,27.7101,22.3977,21.8,13.3,22.6,10.5
0.7,24.4302,20.5228,26.2448,19.5333,21.8,14.2,23.0,10.7
0.8,24.4302,16.4218,25.0559,16.0519,21.8,15.1,23.7,10.8
0.9,24.4302,12.0777,24.1951,12.0299,21.8,16.1,24.8,10.9
1.0,24.4302,8.228,23.8298,8.2014,21.8,17.0,26.2,11.0
1.1,24.4302,9.1761,23.424,9.0085,,,,
1.2,24.4302,10.1242,23.221,9.723,,,,
1.3,24.4302,11.0723,23.0363,10.3674,,,,
1.4,24.4302,12.0204,22.9981,11.05,,,,
1.5,24.4302,12.9685,23.0272,11.5732,,,,
