Rate,MLR_base_nRMSE,MLR_base_Gap,MLR_prop_nRMSE,MLR_prop_Gap
0.0,24.43,13.88,24.3,13.91
0.1,24.43,11.49,23.96,11.62
0.2,24.43,10.22,23.63,10.31
0.3,24.43,9.93,23.3,9.88
0.4,24.43,10.49,23.13,10.18
0.5,24.43,11.34,23.04,10.78
0.6,24.43,12.24,23.02,11.41
0.7,24.43,13.13,23.06,11.9
0.8,24.43,14.03,23.35,12.17
0.9,24.43,14.92,23.51,12.61
1.0,24.43,15.82,24.04,12.8
1.1,24.43,16.71,24.54,13.04
1.2,24.43,17.61,25.82,12.96
1.3,24.43,18.5,26.56,13.15
1.4,24.43,19.4,26.99,13.44
1.5,24.43,20.29,27.43,13.73
