rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,48.41,52.36,41.98,54.18
0.3,1,10,47.46,52.21,41.57,54.06
0.3,1,5,48.18,52.19,40.94,53.93
0.3,1,1,135.64,34.34,49.16,48.36
0.3,1,0,246.83,3.1,247.06,1.75
0.4,1,20,48.49,48.91,42.1,50.58
0.4,1,10,48.41,48.84,41.69,50.5
0.4,1,5,47.96,48.8,41.01,50.34
0.4,1,1,129.92,34.52,44.62,46.28
0.4,1,0,246.83,3.92,247.06,2.69
0.5,1,20,48.55,44.88,42.18,46.39
0.5,1,10,48.36,44.85,41.87,46.35
0.5,1,5,47.87,44.82,41.38,46.26
0.5,1,1,121.06,34.23,41.13,43.56
0.5,1,0,246.8,4.99,247.06,4.05
0.6,1,20,48.59,40.22,42.17,41.52
0.6,1,10,48.49,40.21,42.0,41.51
0.6,1,5,48.24,40.24,41.61,41.44
0.6,1,1,110.64,34.09,40.61,41.63
0.6,1,0,245.75,8.94,247.06,6.08
0.7,1,20,48.58,34.7,42.29,35.73
0.7,1,10,48.49,34.69,42.18,35.72
0.7,1,5,49.3,34.81,41.92,35.7
0.7,1,1,92.7,32.14,77.74,28.93
0.7,1,0,241.31,13.23,247.06,8.86
0.8,1,20,48.57,28.04,42.31,28.75
0.8,1,10,49.01,28.08,42.35,28.76
0.8,1,5,50.71,28.17,42.34,28.76
0.8,1,1,82.99,27.42,42.24,28.76
0.8,1,0,240.63,16.75,247.06,12.66
0.9,1,20,48.72,20.0,42.34,20.32
0.9,1,10,49.1,20.06,42.51,20.33
0.9,1,5,53.75,20.05,43.09,20.35
0.9,1,1,61.73,20.17,45.84,20.48
0.9,1,0,228.75,20.83,136.57,23.39
1.0,1,20,48.8,11.48,42.44,11.31
1.0,1,10,49.33,11.51,43.08,11.3
1.0,1,5,53.92,11.26,43.82,11.29
1.0,1,1,64.66,11.6,49.15,11.29
1.0,1,0,97.16,12.74,136.57,13.74
1.2,1,20,49.09,14.66,43.0,13.29
1.2,1,10,49.43,14.59,43.8,13.15
1.2,1,5,55.99,13.7,45.72,12.86
1.2,1,1,69.8,13.2,56.61,12.27
1.2,1,0,121.22,13.04,136.57,13.74
1.5,1,20,49.29,19.15,43.43,16.1
1.5,1,10,52.0,18.62,45.27,15.43
1.5,1,5,58.19,16.82,47.28,14.99
1.5,1,1,78.22,13.8,67.25,12.79
1.5,1,0,119.58,13.43,136.57,13.74
