rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,36.3,22.89,24.21,25.61
0.3,1,10,35.73,23.21,24.29,25.47
0.3,1,5,36.18,23.08,24.45,25.35
0.3,1,1,75.77,15.86,29.08,23.03
0.3,1,0,116.45,4.59,116.45,4.59
0.4,1,20,36.22,16.89,24.2,18.5
0.4,1,10,36.1,16.88,24.25,18.47
0.4,1,5,36.1,16.92,24.35,18.38
0.4,1,1,67.3,13.85,26.1,17.65
0.4,1,0,121.09,7.44,116.45,6.43
0.5,1,20,36.09,10.7,24.19,10.97
0.5,1,10,36.03,10.69,24.19,10.97
0.5,1,5,36.23,10.62,24.19,10.96
0.5,1,1,37.98,10.46,24.25,10.94
0.5,1,0,100.29,11.04,102.48,15.27
0.6,1,20,35.63,10.43,24.12,9.2
0.6,1,10,35.5,10.35,24.08,9.19
0.6,1,5,35.16,10.26,24.03,9.18
0.6,1,1,37.39,10.31,23.62,9.12
0.6,1,0,68.54,9.91,40.12,9.68
0.7,1,20,35.59,13.45,24.08,10.82
0.7,1,10,35.61,13.2,24.03,10.78
0.7,1,5,35.0,12.99,23.88,10.67
0.7,1,1,37.72,12.7,23.18,10.3
0.7,1,0,68.14,10.33,48.37,10.01
0.8,1,20,35.66,16.39,24.06,12.5
0.8,1,10,35.83,16.11,23.96,12.35
0.8,1,5,35.57,15.7,23.77,12.19
0.8,1,1,37.33,15.61,23.02,11.49
0.8,1,0,69.02,11.19,58.31,10.35
0.9,1,20,35.94,19.34,24.02,14.17
0.9,1,10,35.97,18.98,23.88,13.93
0.9,1,5,36.64,19.22,23.65,13.65
0.9,1,1,36.09,16.31,23.35,12.21
0.9,1,0,70.84,11.54,63.05,10.54
1.0,1,20,35.89,22.27,24.0,15.79
1.0,1,10,35.57,21.35,23.85,15.48
1.0,1,5,36.91,22.31,23.53,14.98
1.0,1,1,38.96,17.97,24.04,12.8
1.0,1,0,76.74,12.4,68.33,10.74
1.2,1,20,35.96,27.81,23.9,18.88
1.2,1,10,36.27,27.74,23.68,18.4
1.2,1,5,36.88,27.58,23.25,17.4
1.2,1,1,41.05,20.93,27.0,13.39
1.2,1,0,84.66,13.18,70.66,10.91
1.5,1,20,36.11,36.05,23.83,23.45
1.5,1,10,36.88,37.34,23.53,22.51
1.5,1,5,36.83,35.03,23.11,20.77
1.5,1,1,43.7,18.31,31.16,14.69
1.5,1,0,88.53,14.63,79.01,11.19
