rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,35.28,11.45,24.07,10.07
0.3,1,10,36.21,11.74,23.98,10.04
0.3,1,5,37.32,11.56,23.75,9.97
0.3,1,1,44.19,11.29,23.02,9.86
0.3,1,0,70.51,11.14,30.99,10.0
0.4,1,20,34.93,12.59,24.03,10.6
0.4,1,10,36.57,13.17,23.89,10.5
0.4,1,5,37.68,13.11,23.65,10.4
0.4,1,1,44.31,12.23,23.02,10.08
0.4,1,0,67.67,11.27,36.4,9.93
0.5,1,20,35.01,14.06,24.02,11.44
0.5,1,10,36.75,14.7,23.83,11.27
0.5,1,5,37.47,14.45,23.55,11.11
0.5,1,1,43.18,13.28,23.42,10.47
0.5,1,0,65.68,10.96,41.21,10.1
0.6,1,20,35.35,15.61,23.96,12.2
0.6,1,10,36.57,16.14,23.72,12.04
0.6,1,5,36.45,15.41,23.36,11.8
0.6,1,1,43.03,11.99,24.12,10.79
0.6,1,0,68.05,11.71,48.37,10.24
0.7,1,20,36.52,17.82,23.9,13.03
0.7,1,10,36.77,17.8,23.67,12.8
0.7,1,5,36.81,16.97,23.26,12.42
0.7,1,1,45.34,12.2,25.92,10.92
0.7,1,0,65.85,12.29,50.48,10.36
0.8,1,20,36.53,19.47,23.87,13.84
0.8,1,10,36.7,19.5,23.61,13.53
0.8,1,5,36.51,17.86,23.21,12.99
0.8,1,1,47.82,11.61,26.97,11.18
0.8,1,0,68.49,12.66,53.79,10.45
0.9,1,20,36.48,21.13,23.85,14.64
0.9,1,10,36.81,21.15,23.55,14.28
0.9,1,5,36.53,19.28,23.18,13.63
0.9,1,1,48.57,11.95,28.41,11.32
0.9,1,0,68.08,13.23,55.34,10.54
1.0,1,20,36.6,22.49,23.8,15.39
1.0,1,10,35.92,21.63,23.53,14.97
1.0,1,5,36.44,20.68,23.12,14.16
1.0,1,1,52.6,12.25,30.45,11.61
1.0,1,0,66.94,13.46,59.14,10.61
1.2,1,20,36.53,25.6,23.69,16.92
1.2,1,10,36.29,24.37,23.33,16.2
1.2,1,5,36.73,22.84,23.1,15.3
1.2,1,1,59.75,13.6,32.49,11.99
1.2,1,0,68.17,14.27,60.62,10.72
1.5,1,20,36.59,30.74,23.61,19.11
1.5,1,10,35.76,27.19,23.22,17.97
1.5,1,5,39.55,23.67,23.29,16.38
1.5,1,1,62.82,13.8,35.99,12.28
1.5,1,0,73.92,15.2,68.22,10.91
