rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,36.01,-4.32,24.25,1.12
0.3,1,10,36.1,-4.3,24.39,0.79
0.3,1,5,36.11,-3.96,24.74,0.16
0.3,1,1,79.72,-23.89,42.95,-11.88
0.3,1,0,116.45,-45.64,116.45,-45.64
0.4,1,20,36.24,-2.79,24.25,2.06
0.4,1,10,35.86,-2.37,24.37,1.79
0.4,1,5,36.42,-2.48,24.65,1.38
0.4,1,1,73.37,-16.08,40.18,-7.66
0.4,1,0,116.45,-38.04,116.45,-38.04
0.5,1,20,36.29,-1.09,24.25,3.02
0.5,1,10,35.76,-0.65,24.36,2.79
0.5,1,5,36.23,-0.81,24.54,2.6
0.5,1,1,68.04,-10.28,32.35,-2.34
0.5,1,0,116.45,-30.43,116.45,-30.43
0.6,1,20,36.3,0.67,24.21,3.98
0.6,1,10,35.73,1.04,24.29,3.81
0.6,1,5,36.22,0.92,24.45,3.67
0.6,1,1,59.4,-4.9,29.17,0.79
0.6,1,0,116.45,-22.82,116.45,-22.82
0.7,1,20,36.41,2.4,24.2,4.92
0.7,1,10,35.61,2.74,24.28,4.81
0.7,1,5,35.95,2.67,24.4,4.73
0.7,1,1,64.13,-1.76,27.25,3.17
0.7,1,0,116.45,-15.22,116.45,-15.22
0.8,1,20,36.4,4.19,24.2,5.86
0.8,1,10,36.12,4.21,24.25,5.83
0.8,1,5,36.01,4.31,24.37,5.74
0.8,1,1,43.43,3.57,25.99,5.05
0.8,1,0,121.1,-6.52,116.45,-7.61
0.9,1,20,36.12,6.02,24.19,6.79
0.9,1,10,36.35,5.95,24.2,6.79
0.9,1,5,35.85,6.07,24.26,6.74
0.9,1,1,41.06,5.85,24.93,6.55
0.9,1,0,117.84,1.15,116.45,-0.01
1.0,1,20,36.11,7.77,24.19,7.72
1.0,1,10,36.18,7.75,24.19,7.72
1.0,1,5,36.22,7.74,24.19,7.72
1.0,1,1,36.65,7.69,24.21,7.71
1.0,1,0,80.74,8.11,104.68,7.6
1.2,1,20,35.57,11.08,24.12,9.55
1.2,1,10,36.05,11.16,24.08,9.54
1.2,1,5,35.2,10.99,24.03,9.52
1.2,1,1,36.96,10.92,27.52,10.2
1.2,1,0,64.33,10.72,32.57,9.4
1.5,1,20,35.57,15.91,24.08,12.22
1.5,1,10,35.95,15.73,24.0,12.13
1.5,1,5,35.25,15.27,23.82,11.96
1.5,1,1,36.98,15.31,23.08,11.26
1.5,1,0,70.81,10.96,68.36,10.52
