rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,58.18,14.24,43.93,13.99
0.3,1,10,62.89,14.09,45.92,13.74
0.3,1,5,68.72,14.31,48.66,13.61
0.3,1,1,90.82,13.53,79.27,13.21
0.3,1,0,108.81,13.49,136.57,14.85
0.4,1,20,58.16,14.54,43.95,13.94
0.4,1,10,63.02,14.41,46.49,13.5
0.4,1,5,68.42,14.33,49.77,13.24
0.4,1,1,95.06,12.98,81.44,12.49
0.4,1,0,115.64,13.25,136.57,14.04
0.5,1,20,58.6,15.35,45.09,14.21
0.5,1,10,63.37,15.1,47.13,13.87
0.5,1,5,71.62,14.7,51.32,13.47
0.5,1,1,98.92,12.71,84.16,12.37
0.5,1,0,116.42,13.29,136.57,13.85
0.6,1,20,59.01,16.17,45.35,14.75
0.6,1,10,63.88,15.95,47.36,14.38
0.6,1,5,72.6,15.44,52.74,13.68
0.6,1,1,100.95,13.08,85.79,12.35
0.6,1,0,116.19,13.35,136.57,13.75
0.7,1,20,59.62,17.58,45.73,15.31
0.7,1,10,64.3,17.28,47.85,14.98
0.7,1,5,71.75,16.46,53.7,14.03
0.7,1,1,102.56,13.31,87.62,12.42
0.7,1,0,113.8,13.43,136.57,13.74
0.8,1,20,59.65,18.53,45.86,15.94
0.8,1,10,62.65,18.27,48.16,15.58
0.8,1,5,75.54,16.39,55.36,14.07
0.8,1,1,103.62,13.49,89.73,12.48
0.8,1,0,113.47,13.56,136.57,13.74
0.9,1,20,59.8,19.58,46.07,16.56
0.9,1,10,63.58,19.02,48.6,16.12
0.9,1,5,75.01,16.34,56.57,14.33
0.9,1,1,104.0,14.0,91.12,12.52
0.9,1,0,117.83,14.0,136.57,13.74
1.0,1,20,61.15,20.43,46.33,17.14
1.0,1,10,64.19,19.95,49.53,16.31
1.0,1,5,75.98,15.83,57.21,14.62
1.0,1,1,105.23,13.9,91.94,12.58
1.0,1,0,118.56,14.15,136.57,13.74
1.2,1,20,61.51,22.17,46.87,18.28
1.2,1,10,64.62,21.23,51.28,16.89
1.2,1,5,74.88,16.39,59.13,15.07
1.2,1,1,107.47,14.32,95.72,12.71
1.2,1,0,117.66,14.31,136.57,13.74
1.5,1,20,61.53,24.9,47.52,19.91
1.5,1,10,67.6,22.2,52.96,17.8
1.5,1,5,73.46,17.76,63.82,14.95
1.5,1,1,105.59,15.06,98.53,12.79
1.5,1,0,118.26,14.39,136.57,13.74
