rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,49.11,14.64,42.84,14.16
0.3,1,10,49.36,14.6,43.69,14.03
0.3,1,5,55.76,13.87,45.61,13.77
0.3,1,1,67.92,13.97,56.04,13.32
0.3,1,0,115.67,13.7,136.57,14.85
0.4,1,20,48.93,15.14,43.01,14.14
0.4,1,10,49.44,15.03,43.92,13.94
0.4,1,5,56.46,13.96,46.0,13.58
0.4,1,1,72.4,12.94,58.62,12.8
0.4,1,0,119.86,13.21,136.57,14.04
0.5,1,20,48.93,16.23,43.03,14.78
0.5,1,10,50.19,15.87,44.1,14.53
0.5,1,5,57.83,14.67,46.35,14.03
0.5,1,1,72.51,12.85,61.64,12.83
0.5,1,0,120.04,13.32,136.57,13.85
0.6,1,20,49.14,17.39,43.07,15.51
0.6,1,10,50.62,16.94,45.09,14.8
0.6,1,5,57.66,15.59,47.03,14.44
0.6,1,1,72.4,13.24,63.82,12.94
0.6,1,0,118.6,13.27,136.57,13.75
0.7,1,20,49.16,18.68,43.45,16.17
0.7,1,10,51.32,18.07,45.27,15.47
0.7,1,5,58.42,16.49,47.28,15.02
0.7,1,1,75.37,13.77,67.58,12.84
0.7,1,0,118.57,13.41,136.57,13.74
0.8,1,20,49.28,19.9,43.78,16.79
0.8,1,10,52.17,19.16,45.55,16.09
0.8,1,5,59.35,17.6,48.02,15.6
0.8,1,1,77.1,13.81,69.61,12.89
0.8,1,0,119.34,13.58,136.57,13.74
0.9,1,20,50.0,20.89,43.82,17.57
0.9,1,10,52.33,20.26,45.79,16.65
0.9,1,5,60.05,18.75,48.23,16.23
0.9,1,1,76.78,14.15,71.87,13.05
0.9,1,0,122.03,13.83,136.57,13.74
1.0,1,20,49.97,22.06,43.92,18.28
1.0,1,10,52.34,21.33,46.13,17.27
1.0,1,5,60.56,19.69,48.48,16.79
1.0,1,1,79.54,14.21,73.83,13.09
1.0,1,0,123.27,13.81,136.57,13.74
1.2,1,20,50.39,24.44,44.09,19.84
1.2,1,10,52.66,22.71,46.4,18.6
1.2,1,5,62.15,21.29,50.28,17.44
1.2,1,1,83.33,14.55,77.81,13.08
1.2,1,0,123.39,13.97,136.57,13.74
1.5,1,20,50.67,27.77,45.27,21.04
1.5,1,10,52.74,25.9,47.07,20.21
1.5,1,5,63.33,21.64,52.21,18.14
1.5,1,1,86.54,14.96,80.51,13.26
1.5,1,0,124.08,13.69,136.57,13.74
