rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,48.72,14.64,42.73,14.15
0.3,1,10,49.27,14.64,43.07,14.11
0.3,1,5,53.82,14.02,44.86,13.85
0.3,1,1,65.4,13.83,53.05,13.44
0.3,1,0,108.81,13.49,136.57,14.85
0.4,1,20,48.63,15.19,42.83,14.16
0.4,1,10,49.29,15.13,43.49,14.04
0.4,1,5,54.43,14.35,45.26,13.68
0.4,1,1,64.21,13.57,54.34,12.95
0.4,1,0,115.64,13.25,136.57,14.04
0.5,1,20,48.61,16.34,43.0,14.78
0.5,1,10,49.4,16.23,43.8,14.55
0.5,1,5,55.8,15.02,45.73,14.07
0.5,1,1,67.28,13.47,56.71,12.99
0.5,1,0,116.42,13.29,136.57,13.85
0.6,1,20,48.61,17.6,43.0,15.51
0.6,1,10,49.28,17.33,43.92,15.19
0.6,1,5,56.26,15.78,45.88,14.62
0.6,1,1,67.43,13.46,58.6,13.15
0.6,1,0,116.19,13.35,136.57,13.75
0.7,1,20,48.64,18.91,43.01,16.33
0.7,1,10,49.32,18.56,43.92,15.96
0.7,1,5,56.87,16.73,46.23,15.23
0.7,1,1,70.41,14.23,60.94,13.27
0.7,1,0,113.8,13.43,136.57,13.74
0.8,1,20,48.98,20.16,43.03,17.15
0.8,1,10,49.33,19.85,44.31,16.54
0.8,1,5,57.09,17.83,46.62,15.77
0.8,1,1,72.07,14.64,63.29,13.33
0.8,1,0,113.47,13.56,136.57,13.74
0.9,1,20,49.05,21.42,43.06,17.99
0.9,1,10,50.03,20.88,45.05,16.91
0.9,1,5,58.08,18.66,46.87,16.38
0.9,1,1,72.05,14.8,65.57,13.25
0.9,1,0,117.83,14.0,136.57,13.74
1.0,1,20,49.02,22.74,43.43,18.58
1.0,1,10,50.48,21.89,45.27,17.56
1.0,1,5,57.43,19.41,47.27,16.86
1.0,1,1,71.06,15.27,66.92,13.36
1.0,1,0,118.56,14.15,136.57,13.74
1.2,1,20,49.04,25.23,43.8,19.9
1.2,1,10,50.41,24.29,45.73,18.65
1.2,1,5,57.82,21.42,47.55,18.07
1.2,1,1,72.53,16.32,69.6,13.44
1.2,1,0,117.66,14.31,136.57,13.74
1.5,1,20,49.11,28.97,43.91,22.15
1.5,1,10,51.5,27.46,45.99,20.58
1.5,1,5,59.65,23.37,48.42,19.75
1.5,1,1,73.76,16.95,73.33,13.51
1.5,1,0,118.26,14.39,136.57,13.74
