model,penalty_rate,nRMSE,optimality_gap
"Proposed(W1=1,W2=0)",0.0,391.3787957171431,-85.55037048589087
"Proposed(W1=1,W2=1)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.0,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.0,34.67363498392216,0.21320782066763794
"Proposed(W1=1,W2=0)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.1,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.2,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.3,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.4,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.5,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.6,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.7,130.8028812868906,29.883251494392645
