lam,n,g,d_n,d_g,d_tr,d_cv,d_mr
0.0,44.64489319878451,11.793530771922967,0.0,0.0,0.0,0.0,0.0
0.0025,45.07245921743181,12.210284316851642,0.4275660186473047,0.41675354492867456,3.533309049420842,3.8271022210414634,2.2749047626402877e-14
0.005,44.94870799894808,11.764746595069472,0.3038148001635719,-0.028784176853495325,-0.24403725845657426,-1.100582303696776,2.2749047626402877e-14
0.0075,45.015880841782,11.704954744394431,0.3709876429974912,-0.08857602752853566,-0.7509629694497041,-1.7516246576286552,2.2749047626402877e-14
0.01,45.84491746639965,11.587288584029867,1.2000242676151416,-0.20624218789309978,-1.748557145398195,-3.03943032937514,-0.213712358182428
0.015,47.55683980785095,11.55966008767121,2.9119466090664403,-0.23387068425175705,-1.9827963435854195,-4.380471298011724,-0.213712358182428
0.02,47.99282256758932,11.587569145993,3.347929368804813,-0.2059616259299677,-1.7461784922698356,-4.723683563179006,-1.1050493239080412
0.03,49.93161588546079,11.515965327236156,5.286722686676285,-0.277565444686811,-2.3532481233873703,-7.366433375308847,-5.097770975507187
0.05,50.64016405027732,11.538219026967806,5.995270851492812,-0.2553117449551614,-2.164577385964683,-9.136430594957183,-18.128808181318036
0.1,58.27940792289906,11.787622150357409,13.634514724114553,-0.005908621565557937,-0.0500943214545726,-10.680616405075803,-18.390798117802074
