Rate,AR_base_nRMSE,AR_base_Gap,AR_lam0_nRMSE,AR_lam0_Gap,AR_lam0.01_nRMSE,AR_lam0.01_Gap
0.0,36.11,6.42,46.6,6.48,47.66,6.56
0.1,36.11,8.13,43.42,7.9,44.84,8.01
0.2,36.11,9.83,46.8,9.98,46.62,9.65
0.3,36.11,11.53,45.65,10.65,47.83,10.76
0.4,36.11,13.24,46.7,11.57,46.43,11.54
0.5,36.11,14.94,44.64,11.79,45.84,11.59
0.6,36.11,16.64,48.43,11.29,47.52,11.61
0.7,36.11,18.35,48.97,11.94,53.83,11.85
0.8,36.11,20.05,55.54,12.08,55.89,11.95
0.9,36.11,21.76,55.79,11.83,53.95,11.9
1.0,36.11,23.46,55.03,12.19,58.61,12.17
