Rate,MLR_base_nRMSE,MLR_base_Gap,MLR_lam0_nRMSE,MLR_lam0_Gap,MLR_lam0.01_nRMSE,MLR_lam0.01_Gap
0.0,24.43,6.87,26.4,6.67,26.05,6.71
0.1,24.43,7.76,23.53,7.99,23.39,8.0
0.2,24.43,8.66,23.03,8.79,23.0,8.81
0.3,24.43,9.55,23.15,9.43,23.4,9.43
0.4,24.43,10.45,24.16,9.93,24.74,9.95
0.5,24.43,11.34,26.31,10.15,27.29,10.3
0.6,24.43,12.24,28.65,10.57,29.75,10.49
0.7,24.43,13.13,30.83,10.74,31.55,10.69
0.8,24.43,14.03,32.27,10.93,33.8,10.85
0.9,24.43,14.92,34.02,11.08,34.53,11.08
1.0,24.43,15.82,35.5,11.23,36.73,11.11
