hour,da_min,da_q1,da_median,da_q3,da_max,rt_min,rt_q1,rt_median,rt_q3,rt_max
0,18.79,26.8925,31.73,37.535000000000004,54.41,15.46,24.27,27.744999999999997,36.05,152.93
1,20.05,28.095,33.135000000000005,37.97,60.66,16.81,24.5675,28.78,37.942499999999995,110.58
2,20.18,28.68,33.535,38.4775,77.95,16.18,24.6425,29.674999999999997,39.175,191.56
3,20.14,28.0625,33.315,38.7275,110.74,14.61,24.34,28.965,36.7325,573.79
4,18.27,26.905,31.924999999999997,38.7325,146.39,8.52,24.5025,28.32,35.7025,1042.63
5,15.97,25.72,30.92,38.87,178.59,5.86,23.9525,27.490000000000002,34.352500000000006,460.57
6,14.57,25.1625,29.67,39.597500000000004,206.17,2.54,23.5425,26.52,33.71,569.62
7,13.98,24.8175,28.59,39.442499999999995,166.15,4.69,23.1875,26.085,33.7625,256.31
8,13.94,25.16,28.549999999999997,37.0525,113.11,7.82,23.2075,25.689999999999998,31.925,107.71
9,18.6,28.1025,32.945,38.6275,89.67,14.27,24.2075,27.39,33.875,196.85
10,18.53,30.945,35.879999999999995,41.68,71.95,15.66,25.32,29.07,38.205,185.37
11,17.96,29.885,34.96,39.4875,61.09,15.26,25.02,28.655,36.0325,928.65
12,17.54,26.5325,30.869999999999997,34.7475,50.07,11.47,22.8725,25.91,30.75,350.4
13,15.8,23.2575,26.03,29.1875,43.71,6.16,21.14,23.42,27.127499999999998,149.07
14,12.65,21.4425,23.645,25.765,35.6,-15.8,19.965,22.34,25.6175,76.01
15,7.7,19.5375,21.58,23.695,32.22,-20.33,17.755000000000003,20.61,23.275,76.12
16,6.06,18.1175,20.265,22.5625,37.07,-15.79,17.15,19.78,22.7575,148.27
17,3.36,17.16,19.689999999999998,21.955000000000002,33.52,-37.4,16.4325,19.265,22.345,41.44
18,5.02,16.68,19.509999999999998,21.685,32.51,-29.93,16.6525,19.22,21.9425,48.42
19,7.66,17.332500000000003,19.975,22.025,34.11,-11.71,17.189999999999998,20.125,22.38,68.46000000000001
20,8.81,18.5125,21.04,22.845,38.01,-22.36,18.384999999999998,20.880000000000003,23.325,70.85000000000001
21,10.75,20.4675,23.240000000000002,25.9775,46.2,-3.11,19.740000000000002,22.455,25.372500000000002,167.57
22,14.75,22.7725,26.505000000000003,30.735,57.87,13.36,21.8575,24.54,28.9925,217.04
23,16.86,24.950000000000003,29.625,35.765,63.8,13.9,23.377499999999998,26.59,33.085,181.4
