Model,Penalty_Rate,nRMSE,Gap
AR,0.0,36.1127,6.4229
AR,0.1,36.1127,8.1265
AR,0.2,36.1127,9.8301
AR,0.3,36.1127,11.5337
AR,0.4,36.1127,13.2373
AR,0.5,36.1127,14.9408
AR,0.6,36.1127,16.6444
AR,0.7,36.1127,18.348
AR,0.8,36.1127,20.0516
AR,0.9,36.1127,21.7552
AR,1.0,36.1127,23.4587
Proposed,0.0,57.9218,6.5809
Proposed,0.1,36.9589,7.7578
Proposed,0.2,37.3463,9.6618
Proposed,0.3,37.4736,11.1279
Proposed,0.4,37.8463,12.2171
Proposed,0.5,37.461,13.6982
Proposed,0.6,37.0738,15.0877
Proposed,0.7,36.4844,16.0869
Proposed,0.8,36.0794,16.1713
Proposed,0.9,38.6816,17.4168
Proposed,1.0,38.9581,17.9675
