Label,W1,W2,Code_nRMSE,Paper_nRMSE,Delta_nRMSE,Code_Gap,Paper_Gap,Delta_Gap
1/20,1,20,48.55,34.89,13.66,2.27,13.91,-11.64
1/10,1,10,48.34,35.14,13.20,2.14,13.42,-11.28
1/5,1,5,47.62,36.28,11.34,2.03,12.71,-10.68
1/2,1,2,50.41,41.09,9.32,0.92,11.88,-10.96
1/1,1,1,130.58,44.95,85.63,-22.36,11.44,-33.80
2/1,2,1,243.79,46.11,197.68,-70.27,11.38,-81.65
5/1,5,1,246.76,48.27,198.49,-75.06,11.38,-86.44
10/1,10,1,246.79,49.21,197.58,-75.10,11.36,-86.46
20/1,20,1,246.80,49.61,197.19,-75.10,11.36,-86.46
1/0,1,0,246.80,50.07,196.73,-75.07,11.36,-86.43
0/1,0,1,34.76,34.76,0.00,15.04,15.04,0.00
