Label,W1,W2,Code_nRMSE,Paper_nRMSE,Delta_nRMSE,Code_Gap,Paper_Gap,Delta_Gap
1/20,1,20,42.12,21.92,20.20,5.27,11.91,-6.64
1/10,1,10,41.69,22.15,19.54,5.11,11.68,-6.57
1/5,1,5,41.26,22.86,18.40,5.00,11.25,-6.25
1/2,1,2,39.29,24.18,15.11,3.73,10.82,-7.09
1/1,1,1,43.47,26.38,17.09,-1.77,10.15,-11.92
2/1,2,1,247.06,27.84,219.22,-77.04,9.92,-86.96
5/1,5,1,247.06,30.12,216.94,-77.04,9.82,-86.86
10/1,10,1,247.06,32.45,214.61,-77.04,9.78,-86.82
20/1,20,1,247.06,34.21,212.85,-77.04,9.78,-86.82
1/0,1,0,247.06,35.12,211.94,-77.04,9.78,-86.82
0/1,0,1,21.76,21.76,0.00,12.59,12.59,0.00
